rank	username	minecraft:custom/minecraft:open_shulker_box
1	noam464	95540
2	YungMaki	78117
3	HellsSponge	77470
4	Di_infiri	68568
5	joethahobo	65854
6	lordpipe	53288
7	eitanzaki	42740
8	Hyp3rion_	42443
9	thewindmillman	42323
10	Blaiku	39260
11	Spacewardharpy7	38516
12	Smoke____	37348
13	OtariCharlie	36952
14	oxfordschool	35377
15	beeperbeeper5	34658
16	Mahoose	33811
17	Enderslayerxz3	32616
18	Blackberry1310	32487
19	thescout7	31637
20	pintsizedrogue	30558
21	EcksD	28251
22	sebastiensaborio	26009
23	gcaisawesome	24491
24	kekhon	24255
25	PigDab	24189
26	Ezekson	23978
27	Snowflowe	23600
28	mwrty	22119
29	Freak_Genius	22046
30	Eraxa	20957
31	rarrq	20867
32	Frozil12	20788
33	Zythose	20721
34	Akoot_	19878
35	TheShyPig	18668
36	Jackattack53	18564
37	Awyrlas	18130
38	Legendosh	17495
39	500am	17030
40	ImpavidArcher	16995
41	TheSecondLord	15948
42	Fullut	15513
43	Werbe	14709
44	Groundler	14685
45	AssEatrAndLicker	14429
46	sp00ky_ghost977	13825
47	Racengan	13525
48	Rumpletaezer	13429
49	jnp_gaming	13167
50	Lord_Jord	12611
51	Soplight	12155
52	m_be9	11610
53	Spenduh	10312
53	Skippeh	10312
55	NameGenerat0r	9669
56	claivin	9645
57	Blu3beast	9453
58	MightyWertu	8947
59	PhantomsGhost_	8932
60	Shogunite	8914
61	SammiWolfGirl	8843
62	MakeHistory157	8773
63	Inchef	8742
64	Sral7	8590
65	burbankbuilder28	8405
66	lillips	7867
67	KG1999	7807
68	set67	7771
69	TechnoNinja64	7734
70	Hisiste	7611
71	lcvezra	7524
72	_Virify_	7448
73	_Karmaa	7056
74	Deathkob	6998
75	Mewar	6946
76	Merv__	6839
77	Bumpy419	6727
78	ROY4LE	6670
79	himak1	6540
80	Historical_Sand	6476
81	ProfessorBee	6367
82	MattieHD	6258
83	Skylord_Luke	6158
84	Chromary	6126
85	r123moore	6058
86	PortlyPete69	6050
87	ApophisNova	5971
88	MyNamaSheff	5958
89	MyNameIsJobo	5914
90	Xalithia	5833
91	EMC_	5816
92	kinas45y5	5317
93	Arceus1975	5284
94	T045RTY	5271
95	KingMatthew506	5251
96	chipklip	5146
97	Nicserso	4913
98	ShedJr_	4779
99	fffMike	4636
100	Hermanni__	4514
101	Inbefour	4481
102	teslawolf38	4461
103	__tomato	4457
104	NomadicRobin_	4455
105	12Magner05	4453
106	gabriels543	4429
