rank	username	minecraft:custom/minecraft:inspect_hopper
1	noam464	41487
2	Hyp3rion_	22897
3	Di_infiri	20560
4	eitanzaki	19473
5	thescout7	16376
6	Spacewardharpy7	11057
7	thewindmillman	10436
8	HellsSponge	8856
9	AdmiralSmoke	8365
10	Blaiku	7909
11	TechnoNinja64	7526
12	PigDab	6206
13	Jackattack53	5821
14	Jimb0nat0r	4930
15	Kakolbus	4866
16	Manaateee	4810
17	joethahobo	4701
18	Ezekson	4535
19	YungMaki	4468
20	non089	4461
21	beeperbeeper5	4378
22	Frozil20	4209
23	EMC_	4089
24	MightyWertu	4048
25	ProfessorBee	3712
26	sp00ky_ghost977	3415
27	Werbe	3403
28	fffMike	3386
29	mihimihimihi	3302
30	Soplight	3180
31	MyNameIsJobo	3164
32	_Mythic____	3127
33	EcksD	2975
34	Enderxz3	2946
35	Inbefour	2901
36	lordpipe	2857
37	Lord_Jord	2678
38	shadowthemonkey	2592
39	Zythose	2574
40	BumbleBeever	2560
41	Mahoose	2526
42	_Nuf	2516
43	r123moore	2466
44	Marbz_	2312
45	ConnorDanky_	2286
46	Snowflowe	2228
47	Fullut	2160
48	Bumpy419	2077
49	FreakGenius	2059
50	Ryan_GEMS	2034
51	PhantomsGhost_	2029
52	Covalents	1956
53	hanaryheatwave	1866
54	Hisiste	1864
55	gcaisawesome	1780
56	Lez_	1752
57	m_be9	1748
58	Arceus1975	1711
59	Groundler	1684
60	Fuhrer_Teemo	1673
61	Spenduh	1644
62	pintsizedrogue	1637
63	Alteriity	1516
64	Hiryu27	1496
65	luseis	1439
65	pixelviolin	1439
67	Jimi7hits	1435
68	vandmanden	1422
69	12Magner05	1377
70	Nicserso	1368
71	obzii	1360
72	lillips	1350
73	Historical_Sand	1314
74	jnp_gaming	1289
75	Steelynan	1278
76	Sral7	1270
77	ImpavidArcher	1244
78	PortlyPete69	1227
79	ssleepless	1223
80	himak1	1187
81	El_Jalapeno	1159
82	PlasticOtari	1145
83	Quincannon	1121
84	TheShyPig	1108
85	WyngGoy	1098
86	Rumpletaezer	1080
87	Mattesco	1070
88	Fuad_R	1043
89	Deathkob	1010
90	Da_Boss_Rani	998
91	RebelAndroid	955
92	lorpus	938
93	TheSecondLord	933
94	MilleGrug	918
95	kekhon	882
96	Jovaphobic	870
97	Huwulling	863
98	SpacesickPrism	831
99	eviltunix	825
100	Blackberry1310	822
101	Kowcio_	811
102	MattieHD	782
103	Paintz	766
104	EngagedGrub41	764
105	Powowowow	760
106	ayamefag	752
107	_Dean_123	750
108	Iamthejo	739
109	catandmoose	731
110	_Virify_	727
111	Akoot_	715
112	Lutres_	711
113	Legendosh	701
114	audiocracked	686
115	Segotep999	682
116	Smashic	673
117	AstreaTSS	664
118	SlayerCrypto	648
119	Awyrlas	645
120	censorsheep	632
121	mwrty	618
122	Skippeh	610
123	Quotary	571
124	oscminus	568
125	Skylord_Luke	567
126	Merv__	559
127	legal_tax_evader	558
128	CLG_Kata	550
129	SteveCraftBlocks	547
129	Racengan	547
131	MoistMicrowave	542
132	claivin	538
133	Warlord324	524
134	cedric72	522
135	Mr_Byzantine	520
136	Onennon	519
137	Elastiq	518
137	fluddd	518
139	xolstoi	511
140	ApophisNova	492
140	MyNamaSheff	492
142	Apollo_993	477
143	Eraxa	472
144	Groovy_MoonBird	460
144	RobotMinion101	460
146	masskedman	452
147	Hoid_the_Roamer	445
148	XboxPanda	442
149	Eczbek	434
150	UCP_TheKingK	433
151	HesDemonPants	431
152	FishisTTV	428
153	yatsuta	425
154	SammiWolfGirl	411
155	prizm_	409
156	T045RTY	406
157	M_Patata	401
157	yulgur1	401
159	Barlycorn	399
160	TheThomas69	398
161	UrbanPlanningEx	381
162	MineMaster0012	374
163	LexMakesHistory	359
163	MasterNueve	359
165	CarltheCuck	355
166	_Bguette_	346
