rank	username	minecraft:custom/minecraft:play_one_minute
1	EcksD	1223105913
2	Spacewardharpy7	726821037
3	Hyp3rion_	573228809
4	Mahoose	550184908
5	joethahobo	533208906
6	lordpipe	502742546
7	HellsSponge	321833253
8	beeperbeeper5	316423002
9	Lez_	307547104
10	TheShyPig	306489126
11	Ezekson	306218633
12	YungMaki	294014875
13	thewindmillman	268317905
14	noam464	259722643
15	AdmiralSmoke	243104198
16	Di_infiri	226718685
17	pintsizedrogue	224970432
18	luseis	215211938
19	Jackattack53	203101075
20	Werbe	179042783
21	eitanzaki	178046558
22	Akoot_	171347139
23	Blackberry1310	164352709
24	KarlKaek	149278265
25	Manaateee	146978958
26	oscminus	146689714
27	SteveCraftBlocks	144247448
28	kekhon	128654546
29	EMC_	127179700
30	Kowcio_	126260038
31	TechnoNinja64	124161602
32	SoosAmongus	123065828
33	Enderxz3	122710263
34	PlasticOtari	114816056
35	Blaiku	114608795
36	Frozil20	114244116
37	500am	109136345
38	FreakGenius	104289322
39	Mattesco	103021585
40	thescout7	99153170
41	Eraxa	96546266
42	hanaryheatwave	96412009
43	ImpavidArcher	95506987
44	PigDab	94039760
45	Steelynan	93301743
46	Mr_Byzantine	90242152
47	rarrq	88407162
48	Lord_Jord	87605333
49	Zythose	87179762
50	TheSecondLord	86696710
51	claivin	84116954
52	Legendosh	81710923
53	Jimb0nat0r	81234545
54	EveryonesUncle	79698688
55	Soplight	77396035
56	gcaisawesome	76939610
57	Arceus1975	74685808
58	_Dean_123	74600297
59	MightyWertu	74271727
60	Merv__	73509548
61	Groovy_MoonBird	73357158
62	ConnorDanky_	71196057
63	MyNameIsJobo	70558498
64	12Magner05	70348215
65	Racengan	68032417
66	Huwulling	65296429
67	MilleGrug	62615213
68	Alteriity	62362657
69	Fullut	61810902
70	Shogunite	60852593
71	PazinGaming	58806670
72	SammiWolfGirl	58328386
73	Smashic	56889028
74	xxPipperDipperxx	55740832
75	Blu3beast	55408672
76	Marbz_	55363579
77	MattieHD	54351610
78	Snowflowe	53434888
79	Jimi7hits	53191950
80	MakeHistory157	51930893
81	El_Jalapeno	49890751
82	NomadicRobin_	49775455
83	Ryan_GEMS	48643430
84	Kakolbus	47163570
85	Segotep999	46109399
86	m_be9	45431498
87	mihimihimihi	45239994
88	Inchef	45144503
89	PhantomsGhost_	44467405
90	xolstoi	44342970
91	Skylord_Luke	44161951
92	T045RTY	43491621
93	burbankbuilder28	43395138
94	k_ce	42042413
95	Tyrannosplart	41288064
96	Hermanni__	40026656
97	Bumpy419	39919464
98	_Mythic____	39749350
99	himak1	39462471
100	wwwwinnebagoooo	38356667
101	Spenduh	37698099
102	Hisiste	37658881
103	CoffeeNoir	36126856
104	Rebytre	35954021
105	vandmanden	35647205
106	pixelviolin	33939453
107	ApophisNova	33620490
108	MyNamaSheff	33528456
109	Onennon	32961037
110	jnp_gaming	32916133
111	Skippeh	32829448
112	Inbefour	32494768
113	xzvu	32234026
114	Hiryu27	31889820
115	Historical_Sand	31560220
116	RebelAndroid	31199949
117	PortlyPete69	31082204
118	Quotary	30712678
119	DarlaMeow	30457986
120	MAns_44	30394303
121	Xalithia	30379268
122	Fuad_R	30249294
123	Krowuss	29867652
124	non089	29258102
125	Rumpletaezer	28749395
126	SuperPooch06	28664559
127	NatalieTW	28595607
128	Iamthejo	28576512
129	SpacesickPrism	28548958
130	TheBananaKat	28449246
131	ShedJr_	28200680
132	AlexxO_o	27867989
133	bloodbiter	27431685
134	_Huge_Male_	26923826
135	Groundler	26872426
136	Covalents	26857266
137	Xclax101	26402990
138	CalebDHawk	26155955
139	F_Uhre	26021258
140	obzii	25892899
141	pappaberg	25675904
142	Zoeyfortnite	25408211
143	alderban107	25156485
144	SvenskaHugo	24977852
145	Maenara	24817874
146	fffMike	24814818
147	StarCookiees_	24649696
148	censorsheep	24439768
149	ayamefag	24427147
150	Sral7	24396872
151	Awyrlas	24084051
152	ProfessorBee	23946539
153	calamariclam_I	23891270
154	_Karmaa	23844226
155	Nicserso	23774978
156	fluddd	23705967
157	Chromary	23693290
158	6king6colt6	23141147
159	__tomato	23115564
160	masskedman	22861237
161	SkateboardR6	22789443
162	Apollo_993	22614539
163	ECstardust	22602563
164	LordSpeed37	22563296
165	teslawolf38	22414308
166	00000000-0000-0000-0009-01ff0c3e5e4f	22394821
167	UCP_TheKingK	22252503
168	M_Patata	21744495
169	ROY4LE	21344719
170	skrongus	21234028
171	Winklepicker279	21219479
172	Saucepeh	21115297
173	Njensen7	21048162
174	WyngGoy	20698623
175	set67	20505392
176	MineMaster0012	20399532
177	yulgur1	20038759
178	Barlycorn	19891289
179	NameGenerat0r	19817641
180	PaperCanvas	19727140
181	MasterNueve	19534331
182	Comma__	19480058
183	Deathkob	19472272
184	monky_irl	19279688
185	mwrty	19018577
186	Powowowow	18975232
187	excelsionprime	18914490
188	CattSoup	18872104
189	r123moore	18657988
190	ediballbearings	18448387
191	RoskobiOne	18431616
192	jessewegottacook	18029833
193	Warlord324	17701458
194	StinkyDiplomat	17501044
195	h2p_emrld	17328781
196	KingMatthew506	17325589
197	cedric72	16586916
198	Mewar	16450333
199	MinttyFressh	16333001
200	jcool7	16230217
201	sp00ky_ghost977	16091008
202	Ryker	16086890
203	The_slideV3	16065327
204	Kyrum2169	16015832
205	lcvezra	15943744
206	djancak	15929876
207	LexMakesHistory	15886492
208	jacxhadow	15821348
209	q_wq	15812417
210	SaucyDark	15650993
211	Cowison	15578075
212	soundad	15576480
213	FishyBoy3811	15495547
214	weabis	15492368
215	_Virify_	15083638
216	lillips	15073266
217	MoistMicrowave	14994707
218	AuroraValkyrie	14764637
219	diamondgolem35	14677319
220	LeonelSalamanca	14598192
221	titanlax	14526072
222	EngagedGrub41	14523649
223	BumbleBeever	14461623
224	shadowthemonkey	14371311
225	_Boipl_	14346113
226	XboxPanda	14326244
227	Archsam	13756793
228	RatatJuice	13581246
229	_Bguette_	13499964
230	Nycteus_	13473095
231	DanTheBuilderino	13461465
232	Quaintster	13369857
233	AstreaTSS	13130936
234	lizardfightclub	13016009
235	Ssor69	12938798
236	TheDankPlatypus	12830188
237	Felenov	12808692
238	Euclidoris	12686970
239	BobDeBouwer1337	12685409
240	bigstankyy	12321620
241	Hoid_the_Roamer	12237785
242	I_Am_Mushkin	12089948
243	diggydog67	11958733
244	SmashingPump	11947528
245	legal_tax_evader	11903036
246	Meatlaugh	11823319
247	livingdaydreams	11776034
248	Bandito_Roamer	11730474
249	TheSeismicDuck	11599249
250	Druid95	11520861
251	slkiey	11520156
252	Dakar_	11458415
253	Leyna3	11451321
254	Franco093	11449083
255	tuckerdoodle	11322772
256	_TCARREIRA_	11285531
257	Lutres_	11217251
258	Crowman1	11150550
259	Incinere	11128763
260	Jovaphobic	11085675
261	ooga47	11007926
262	Kubelz	10984107
263	j5ylim	10962989
264	Wowful	10959273
265	_stets	10785549
266	Touched_Bread	10780324
267	LeauVox4921	10746277
268	2Stout	10711337
269	Elastiq	10532428
270	Eczbox	10526483
271	hm947	10513674
272	lorpus	10462912
273	Deodorante	10312480
274	GooseWithin	10262706
275	anbbang	10213323
276	H72l9w	10210692
277	youhjjhhhjj	10193268
278	eviltunix	10127178
279	wezzzi	10106546
280	MissCeleste7	10063141
281	Swexti	10018040
282	yheece	10009958
283	SingedBread	9960851
284	Fuhrer_Teemo	9925961
285	Kubeusz2010	9901430
286	Wooptey	9699435
287	Dreamdbr14	9657245
288	BlancoFlaco	9626570
289	Lord_Zacler	9518232
290	Eczbek	9495169
291	audiocracked	9425620
292	TheMilkerOfCats	9341642
293	SellyZ	9301017
294	RobotMinion101	9298605
295	JESS_THE_RERE	9274559
296	Creativebuilder2	9223479
297	fw3xy74	9163627
298	Sleek_Storm_721	9154360
299	Zaridey	9117845
300	stavgod	9015751
301	fkGrim	8969809
302	Optiprimus	8937032
303	corvidpartyfor6	8870204
304	SyntheticSurgeon	8851880
305	ActualPatbaf	8772307
306	2blox_	8730269
307	catandmoose	8675847
308	RadarHz	8671323
309	CollinMH06	8560150
310	ougstur	8523246
311	KlausVonStiglitz	8515703
312	GravitySaint	8460813
313	Nicky_H225	8459944
314	Rasmanden	8428817
315	Myszoaz	8369332
316	NieToksikpl	8363299
317	Nach0Bear	8344893
318	CLG_Kata	8271342
319	SpaceGrenadier	8264900
320	IamCL4SSY	8255504
321	_i_ERROR_i_	8234684
322	MirielThePastor	8192973
323	Windo_licker	8160238
324	MrExplorer	8137346
325	DarkS0L	8082266
326	Corbsman	8066544
327	IAmTheWalrus910	8034449
328	DinoDoctor_	7976747
329	TheWildMateo	7863786
330	Scathra	7789482
331	The11thDoctor	7767765
332	fade_emerge78823	7687699
333	TheThomas69	7586858
334	FirsTimeGamingTV	7577383
335	MovingFish7	7561945
336	ItsHydroMC	7536847
337	eiC_	7535116
338	JayToe	7511153
339	Megarboh	7437155
340	Cocoamallows	7387215
341	AlphaWolfPlaysMC	7385216
342	selectrix	7383839
343	Quincannon	7370625
344	Kura2218	7364107
345	Vorlice	7330077
346	FelixPSY375	7306310
347	Da_Boss_Rani	7254841
348	AltnumberF4	7239391
349	Paintz	7207146
350	benediktine1	7190966
351	Strangemonkey71	7184027
352	picardred	7177839
353	_Nuf	7175089
354	ExtraDumb	7161781
355	PlzNoBM	7155832
356	Dogcorn69420	7081308
357	WET_WET_WET	7072816
358	zToasty69z	7031371
359	The_Cruncy	6980187
360	Malorn_Aetherius	6970681
361	TooManyDuck	6969785
362	ImDisconnected_	6967553
363	OreTheBear	6952867
364	Deerfoot	6939826
365	Sheldor097	6920180
366	tsitrawhy	6915951
367	intropass	6820273
368	mariominejedi	6762216
369	lunathelemon	6716475
370	BlankityMcBlank	6707810
371	Natty	6697055
372	HolyVenom	6681728
373	Razzgriz	6643317
374	Fildyr	6602301
375	ZeroKraken	6587073
376	PegLegPete93	6583152
377	07shiny	6547653
378	groofles	6547150
379	SlayerCrypto	6524953
380	SvenskaSara	6503670
381	HesDemonPants	6482576
382	Hahaa_0	6390700
383	Syropatathe	6372888
384	Typadopoulos	6358897
385	IWorkAtIkea	6348244
386	ITDV	6314438
387	FishisTTV	6294015
388	UrbanPlanningEx	6280999
389	crying_wolf_13	6278048
390	RedcatVII	6271069
391	AuroraSkies	6252191
392	ssleepless	6206642
393	kalzor	6146718
394	Toriankel	6112140
395	DemTechAlpha	6103249
396	H0UNDFRMH3LL	6088697
397	heckface	6026392
398	Ze_BaronKrigler	6021755
399	Kamflame10	5999784
400	Kouridragon	5960328
401	Moofyman	5933065
402	Jordan_R	5910288
403	NoChumpChange	5859433
404	Prodiginus	5834670
405	prizm_	5815849
406	starbits140	5773907
407	lorywithay	5773857
408	BungalowBeet	5715871
409	theonlymagikarp	5703082
410	Valoth	5699996
411	olliebollie48	5676525
412	LeeMcGee30	5674345
413	Kim_Jong_eel	5648929
414	XxCookiequeenxX	5605369
415	whoaluv	5590656
416	Russiancat1	5585292
417	BreadBacon	5580202
418	Luminad3	5562658
419	NATE_the_HALO	5550081
420	impossibleteapot	5535856
421	Avocadogerms	5532882
422	BPTY4618	5460478
423	ZoomieZoomie	5437896
424	CliffEmAll	5431896
425	iSammael	5413735
426	epiksk8erduck	5399850
427	Luigipunch989	5344200
428	paranoid_plant	5245782
429	UMosDiesIrae	5235844
430	Reneedium	5221886
431	Stiar	5221462
432	4774	5210275
433	Jonafrog99	5171449
434	UncreativeArtist	5094293
435	KingFaenor	5086044
436	Hpdinosaur	5046340
437	Cryptacity	5026538
438	Z3braYTIL	5026178
439	Kkanot	5007811
440	cichy096	4975807
441	ProfessorDiaper	4957641
442	ElectricDragon81	4943615
443	corpsecity	4937711
444	Steve897	4937086
445	powercas_gamer	4910949
446	Rocco_Lane	4909918
447	GingerNeutron	4879369
448	Sleepy_Time_	4859429
449	ItsDeltaMC	4830535
450	Secret_Canary	4824241
451	bearlystraight	4821374
452	smogfrog	4794192
453	Biites	4772533
454	Wolverine4302	4772370
455	CharlieButt	4734681
456	Auseawesome	4718592
457	Masssonnn	4699863
458	Tolhart	4693836
459	fr_ser	4685988
460	VentiHilton	4660794
461	MadmanRaven	4619341
462	shineh10	4618551
463	seramalen	4586332
464	jushykins	4556059
465	Nicky19	4536927
466	KeruNatsema	4519903
467	SSytex_X	4486660
468	Kijiki	4455971
469	seanitoo	4448825
470	OfficerAnvil	4408406
471	laron58	4385362
472	HyperCave	4341192
473	fanofbands101	4330559
474	mimbo1211	4323571
475	imcombxt	4322202
476	Notta	4320841
477	stellarjay	4306273
478	Teebone15	4299792
479	iElijah	4292621
480	QuiCreans	4282152
481	Vetral1	4254399
482	SnowyAvi	4252721
483	ReflexCode	4252306
484	Prismyst	4249717
485	CarltheCuck	4240769
486	thebaddruid	4206160
487	gaziter10	4206126
488	SOA1RR	4205779
489	TheEnderMan548	4205649
490	QueenShuvi	4203441
491	SvenskaAlvar	4180074
492	TheTrueClipse	4133555
493	Airem_Core	4127351
494	trexgb	4110373
495	Vizzoid	4077509
496	emrekn	4061941
497	BlueZabu	4028172
498	MustaLoordi	4025426
499	Kateesaur	4025343
500	thgrocks	4020434
501	aldplaysmc	3998560
502	MuffinManzz	3995407
503	Rich_Kat	3966398
504	Jackster03	3940991
505	sufjanlover	3927380
506	MrKrabOnCoke	3925191
507	King_Pancake1	3904210
508	Smiguli_	3903248
509	NotMeanttoChange	3900885
510	nattybears	3900701
511	33sudo	3885860
512	SquadMonster	3860921
513	Soul_Atreus	3859884
514	NinjaKnifeKill	3858264
515	gren_ben	3846061
516	little_dUki	3843382
517	ReSynced	3839982
518	G1ldor	3838132
519	RoboTramp7865	3819511
520	longappendage	3812452
521	WYFYoyo	3804880
522	Kferno	3803034
523	ratglock	3798997
524	Reamdin	3797814
525	lotarp	3794660
526	DAD_1996	3761455
527	mawileite	3760487
528	ARandomHedge	3751652
529	Nyxiom_	3750707
530	Killercatty78	3738309
531	Donutt	3736299
532	Hyugo	3734739
533	brofrickcheaters	3711590
534	OrewaSora	3710946
535	shrimp_flips	3710058
536	TheBiggestFeller	3700054
537	layabout100	3694396
538	CrateOfBoxes	3680398
539	IdeallyGrey	3645499
540	Drewen24	3640092
541	Truckoss	3639275
542	bloomkieren	3627653
543	domagawha	3614035
544	Whiterooster001	3589936
