rank	username	minecraft:custom/minecraft:interact_with_brewingstand
1	SammiWolfGirl	2386
2	Eraxa	2066
3	kekhon	1870
4	Di_infiri	1716
4	Hyp3rion_	1716
6	Soplight	1441
7	eitanzaki	1437
8	noam464	1275
9	Smoke____	1130
10	beeperbeeper5	1124
11	pintsizedrogue	1085
12	Inchef	1010
13	TheSecondLord	922
14	Blackberry1310	895
15	TechnoNinja64	877
16	YungMaki	832
17	monky_irl	788
18	wezzzi	767
19	Arceus1975	738
20	Snowflowe	698
21	Racengan	672
22	ProfessorBee	627
23	bloodbiter	592
24	PhantomsGhost_	582
25	Vorlice	581
26	djancak	576
27	KG1999	550
28	Akoot_	516
29	Historical_Sand	507
30	RodSerlingCringe	494
31	DarlaMeow	486
32	Winston_Ingram	477
33	thewindmillman	464
34	claivin	427
35	SvenskaHugo	426
36	500am	416
37	xxPipperDipperxx	415
38	SingedBread	414
39	_Bguette_	410
39	Freak_Genius	410
41	HellsSponge	401
42	Merv__	395
43	Groovy_MoonBird	368
44	joethahobo	365
45	_Dean_123	353
46	Fullut	349
47	Hiryu27	340
48	Mahoose	339
49	jnp_gaming	334
50	Lord_Jord	322
51	fred870d	319
52	EveryonesUncle	312
53	loveseeker	303
54	Legendosh	301
55	SlayerCrypto	282
56	Paintz	276
57	Hisiste	270
58	Drlzyy	265
59	Ezekson	264
60	T045RTY	263
61	chipklip	257
62	m_be9	255
63	q_wq	247
64	titanlax	246
64	r123moore	246
66	Rumpletaezer	245
67	12Magner05	235
68	SuperPooch06	228
69	_TCARREIRA_	227
70	mwrty	226
70	Hoid_the_Roamer	226
72	Auseawesome	225
72	stellarjay	225
74	tobinwilliams	223
75	Covalents	217
76	seramalen	214
77	kinas45y5	212
78	rarrq	211
78	Skippeh	211
80	Chromary	206
81	sp00ky_ghost977	204
82	fluddd	194
83	jushykins	187
84	Hermanni__	185
85	Werbe	182
85	AssEatrAndLicker	182
87	diamondgolem35	181
88	_naturell	180
89	Frozil12	172
90	Awyrlas	170
91	6king6colt6	167
92	AlphaWolfPlaysMC	166
93	Onennon	164
94	KingEgg1	161
95	Kkanot	155
96	HolyVenom	153
97	pixelviolin	148
98	youhjjhhhjj	147
99	Zoeyfortnite	145
100	Enderslayerxz3	141
101	oxfordschool	140
102	Kubeusz2010	139
