rank	username	minecraft:custom/minecraft:play_time
1	EcksD	990316174
2	Spacewardharpy7	726778310
3	Mahoose	549848890
4	joethahobo	533158640
5	lordpipe	456704503
6	Hyp3rion_	451881610
7	HellsSponge	321722608
8	TheShyPig	306489126
9	Ezekson	302309571
10	beeperbeeper5	295622721
11	YungMaki	288490386
12	thewindmillman	268317905
13	noam464	252006737
14	AdmiralSmoke	241920300
15	Di_infiri	226718685
16	Lez_	215466548
17	pintsizedrogue	202178231
18	luseis	192030033
19	eitanzaki	177202845
20	Akoot_	171253652
21	Blackberry1310	163609083
22	Werbe	153186236
23	Jackattack53	151026786
24	KarlKaek	143937628
25	kekhon	128654546
26	Manaateee	125899944
27	TechnoNinja64	124161602
28	SteveCraftBlocks	123784960
29	Blaiku	114607930
30	Frozil20	114244116
31	PlasticOtari	112542777
32	EMC_	109813599
33	500am	109003452
34	Enderxz3	106441835
35	FreakGenius	104289322
36	thescout7	99153170
37	Eraxa	95449658
38	ImpavidArcher	95396897
39	PigDab	92652748
40	Steelynan	87780811
41	Lord_Jord	87605333
42	Zythose	87179762
43	Kowcio_	85347738
44	rarrq	84363568
45	oscminus	84219545
46	claivin	84116954
47	Legendosh	81547062
48	TheSecondLord	81538698
49	gcaisawesome	76939610
50	Mattesco	76698679
51	MightyWertu	74271727
52	Soplight	74087769
53	_Dean_123	73004362
54	Arceus1975	72279631
55	ConnorDanky_	71196057
56	MyNameIsJobo	70558498
57	EveryonesUncle	69059665
58	12Magner05	68460572
59	Groovy_MoonBird	66562222
60	Merv__	65091462
61	Racengan	63374485
62	MilleGrug	62615213
63	Jimb0nat0r	61387586
64	Shogunite	60852593
65	Fullut	60119453
66	Mr_Byzantine	58567797
67	SammiWolfGirl	58131252
68	Huwulling	55751652
69	Blu3beast	55408672
70	Marbz_	54866404
71	xxPipperDipperxx	54188136
72	Snowflowe	53434888
73	Jimi7hits	53191950
74	hanaryheatwave	52991612
75	MattieHD	52543873
76	MakeHistory157	51930893
77	Smashic	50846688
78	El_Jalapeno	49890751
79	NomadicRobin_	49775455
80	Alteriity	49391531
81	Ryan_GEMS	48643430
82	Segotep999	46109399
83	m_be9	45431498
84	mihimihimihi	45239994
85	Inchef	45139198
86	PhantomsGhost_	44467405
87	Skylord_Luke	44161951
88	T045RTY	43468117
89	burbankbuilder28	43395138
90	Tyrannosplart	41288064
91	Bumpy419	39919464
92	Hermanni__	39918451
93	himak1	39462471
94	Hisiste	37658881
95	Spenduh	36686467
96	_Mythic____	36454097
97	CoffeeNoir	36126856
98	Rebytre	35774384
99	Kakolbus	35762917
100	vandmanden	35647205
101	PazinGaming	34424913
102	ApophisNova	33602160
103	MyNamaSheff	33528456
104	Onennon	32961037
105	jnp_gaming	32916133
106	xolstoi	32870043
107	Skippeh	32686156
108	Inbefour	32494768
109	xzvu	32234026
110	Hiryu27	31889820
111	Historical_Sand	31369076
112	wwwwinnebagoooo	31323910
113	RebelAndroid	31192918
114	PortlyPete69	31067536
115	Quotary	30702528
116	DarlaMeow	30457986
117	Xalithia	30379268
118	Fuad_R	30178782
119	non089	29258102
120	Rumpletaezer	28749395
121	SuperPooch06	28664559
122	NatalieTW	28595607
123	Iamthejo	28400821
124	MAns_44	28396261
125	ShedJr_	28174259
126	bloodbiter	27431685
127	Groundler	26872426
128	Covalents	26857266
129	Xclax101	26402990
130	CalebDHawk	26146440
131	AlexxO_o	26099094
132	F_Uhre	26021258
133	obzii	25834672
134	pappaberg	25675904
135	Zoeyfortnite	25408211
136	Maenara	24817874
137	alderban107	24574531
138	censorsheep	24439768
139	ayamefag	24427147
140	SpacesickPrism	24417797
141	Sral7	24396872
142	Awyrlas	23996675
143	ProfessorBee	23946539
144	calamariclam_I	23891270
145	_Karmaa	23844226
146	fluddd	23699171
147	Chromary	23630800
148	Nicserso	23382465
149	6king6colt6	23141147
150	__tomato	23096867
151	masskedman	22861237
152	SkateboardR6	22789443
153	LordSpeed37	22563296
154	00000000-0000-0000-0009-01ff0c3e5e4f	22394821
155	fffMike	22047824
156	teslawolf38	22039360
157	M_Patata	21744495
158	k_ce	21743128
159	SvenskaHugo	21518706
160	ROY4LE	21344719
161	pixelviolin	21315047
162	skrongus	21234028
163	Winklepicker279	21219479
164	WyngGoy	20698623
165	set67	20505392
166	SaintJosie	20450689
167	yulgur1	20038759
168	Barlycorn	19805575
169	NameGenerat0r	19761538
170	Njensen7	19681427
171	MasterNueve	19534331
172	Comma__	19480058
173	Deathkob	19472272
174	monky_irl	19279688
175	mwrty	18993804
176	Powowowow	18975232
177	CattSoup	18872104
178	r123moore	18657988
179	ediballbearings	18448387
180	RoskobiOne	18431616
181	Warlord324	17701458
182	StinkyDiplomat	17500389
183	h2p_emrld	17328781
184	KingMatthew506	17325589
185	jessewegottacook	16780055
186	cedric72	16586916
187	UCP_TheKingK	16503333
188	Mewar	16450333
189	MinttyFressh	16291390
190	jcool7	16230217
191	sp00ky_ghost977	16091008
192	Ryker	16086890
193	The_slideV3	16065327
194	Kyrum2169	16015498
195	excelsionprime	15976836
196	djancak	15929876
197	lcvezra	15920623
198	LexMakesHistory	15886492
199	jacxhadow	15821348
200	_Huge_Male_	15685859
201	SaucyDark	15650993
202	Cowison	15578075
203	soundad	15569629
204	q_wq	15565922
205	FishyBoy3811	15495547
206	weabis	15445643
207	Apollo_993	15165800
208	_Virify_	15083638
209	MoistMicrowave	14994707
210	MineMaster0012	14966557
211	Krowuss	14872322
212	AuroraValkyrie	14764637
213	diamondgolem35	14646604
214	LeonelSalamanca	14598192
215	titanlax	14526072
216	EngagedGrub41	14523649
217	BumbleBeever	14461623
218	lillips	14417182
219	_Boipl_	14346113
220	XboxPanda	14326244
221	_Bguette_	13499964
222	Nycteus_	13473095
223	DanTheBuilderino	13461465
224	RatatJuice	13432042
225	ECstardust	13042210
226	lizardfightclub	13016009
227	Ssor69	12938798
228	TheDankPlatypus	12734919
229	BobDeBouwer1337	12685357
230	Euclidoris	12669025
231	shadowthemonkey	12577919
232	bigstankyy	12321620
233	Hoid_the_Roamer	12237785
234	I_Am_Mushkin	12089948
235	diggydog67	11958733
236	SmashingPump	11930816
237	legal_tax_evader	11903036
238	livingdaydreams	11776034
239	Meatlaugh	11765255
240	Bandito_Roamer	11730474
241	Felenov	11615563
242	TheSeismicDuck	11599249
243	Druid95	11520861
244	slkiey	11520156
245	Leyna3	11451321
246	Franco093	11449083
247	Dakar_	11393204
248	_TCARREIRA_	11285531
249	Lutres_	11211427
250	SoosAmongus	11164963
251	Crowman1	11150550
252	Incinere	11105207
253	Jovaphobic	11085675
254	ooga47	11007926
255	Kubelz	10984107
256	Quaintster	10947990
257	Wowful	10944178
258	_stets	10785549
259	Touched_Bread	10754281
260	LeauVox4921	10746277
261	2Stout	10678546
262	Elastiq	10532428
263	Eczbox	10526483
264	lorpus	10462912
265	Deodorante	10312480
266	anbbang	10213323
267	H72l9w	10210692
268	youhjjhhhjj	10193267
269	eviltunix	10127178
270	wezzzi	10106546
271	MissCeleste7	10063141
272	Swexti	10018040
273	yheece	10009958
274	SingedBread	9960851
275	GooseWithin	9958550
276	Fuhrer_Teemo	9925961
277	Kubeusz2010	9889183
278	hm947	9706427
279	Wooptey	9661374
280	Dreamdbr14	9657245
281	BlancoFlaco	9626570
282	audiocracked	9425620
283	TheMilkerOfCats	9341642
284	SellyZ	9301017
285	RobotMinion101	9298605
286	JESS_THE_RERE	9274559
287	Creativebuilder2	9223479
288	Lord_Zacler	9183942
289	Sleek_Storm_721	9154360
290	Zaridey	9117845
291	fw3xy74	9096916
292	stavgod	9015751
293	fkGrim	8969809
294	tuckerdoodle	8944426
295	Optiprimus	8937032
296	2blox_	8730269
297	RadarHz	8671323
298	CollinMH06	8560150
299	ougstur	8523246
300	KlausVonStiglitz	8515703
