rank	username	minecraft:custom/minecraft:interact_with_anvil
1	Hyp3rion_	3709
2	noam464	1921
3	pintsizedrogue	1448
4	Mahoose	1191
5	luseis	1179
6	beeperbeeper5	1113
7	joethahobo	1027
8	500am	865
9	Blackberry1310	778
10	Lez_	723
11	eitanzaki	700
12	Smoke____	683
13	Awyrlas	573
14	jnp_gaming	538
15	Ezekson	522
16	Esme_1	512
17	TheSecondLord	481
18	thewindmillman	477
19	lordpipe	462
20	Kowcio_	453
21	FreakGenius	452
22	12Magner05	429
23	Akoot_	424
23	Blaiku	424
25	gcaisawesome	422
26	Spacewardharpy7	397
27	Racengan	393
28	PlasticOtari	391
29	EveryonesUncle	382
30	Werbe	380
31	Enderxz3	378
32	Fullut	372
33	kekhon	367
34	HellsSponge	355
35	Snowflowe	347
36	Smashic	339
37	gusstationwerker	338
38	Historical_Sand	319
39	RealGroot	313
40	Arceus1975	311
41	teslawolf38	309
42	SammiWolfGirl	308
43	EcksD	293
44	mwrty	291
45	IamCL4SSY	281
45	YungMaki	281
47	set67	279
48	RoofTyler	276
49	Inbefour	273
50	NomadicRobin_	269
51	PigDab	260
52	T045RTY	258
53	ConnorDanky_	256
54	Lord_Jord	253
55	Huwulling	247
56	ImpavidArcher	245
57	FelixPSY375	242
58	Jackattack53	239
59	Jimb0nat0r	235
60	EMC_	232
60	NameGenerat0r	232
60	fffMike	232
63	Hermanni__	230
64	Eraxa	228
65	Eczbek	227
66	Alteriity	226
67	xxPipperDipperxx	215
68	Rebytre	214
69	ShedJr_	206
69	RadarHz	206
71	Marbz_	203
72	Apollo_993	202
73	masskedman	200
73	THEKINGLyric10	200
75	r123moore	197
75	mihimihimihi	197
77	binman420	196
78	Kubeusz2010	187
79	SvenskaHugo	186
80	MangoTheFish	179
80	Nicserso	179
82	MilleGrug	177
83	lorpus	175
84	CoffeeNoir	174
85	Myszoaz	172
85	Inchef	172
85	Soplight	172
88	Mythic1130	169
89	Chromary	168
90	SmashingPump	165
90	Xalithia	165
92	Merv__	163
93	Dreamdbr14	160
93	Steelynan	160
95	MyNameIsJobo	155
96	SuperPooch06	154
96	Sral7	154
98	Frozil20	152
99	I_Am_Mushkin	151
99	cedric72	151
99	diggydog67	151
102	bladeefan2009	148
103	_Virify_	146
103	SteveCraftBlocks	146
105	groofles	145
105	monky_irl	145
107	Skylord_Luke	143
107	Luminad3	143
109	CollinMH06	142
110	Iamthejo	141
111	gabriels543	139
112	Jovaphobic	137
112	Zythose	137
114	FazeObama69	136
114	HesDemonPants	136
116	Di_infiri	134
117	bloodbiter	131
118	Soap_Bender	130
118	Skippeh	130
120	TheShyPig	128
120	fw3xywashere	128
120	PortlyPete69	128
123	Da_Boss_Rani	127
123	OG_Songsee	127
125	djancak	126
126	Yirtle	125
126	GoofySilly	125
128	fr_ser	124
129	obzii	121
130	Kamflame10	120
131	hm947	119
131	GlitchyPlate810	119
133	Nycteus_	118
134	livingdaydreams	117
134	Razzgriz	117
136	Z3braYTIL	115
136	SvenskaAlvar	115
136	sp00ky_ghost977	115
139	Killercatty78	113
139	rarrq	113
139	Winklepicker279	113
139	2bolx_	113
143	GravitySaint	111
143	ThisUserIsStump	111
143	laron58	111
146	KarlKaek	110
146	DarlaMeow	110
146	h2p_emrld	110
149	xolstoi	109
150	XboxPanda	108
151	SingedBread	107
152	CliffEmAll	106
152	Megarboh	106
152	Karetoko	106
152	Dogcorn69420	106
156	bigstankyy	105
156	jessewegottacook	105
158	MinttyFressh	104
158	Secret_Canary	104
160	AlexxO_o	103
161	Wowful	101
162	PhantomsGhost_	100
162	thescout7	100
164	whoaluv	99
164	TheEnderMan548	99
166	soundad	98
166	BumbleBeever	98
166	CalebDHawk	98
169	Kakolbus	97
169	little_dUki	97
171	NieToksikpl	96
172	TheWildMateo	95
172	AuroraSkies	95
172	SkateboardR6	95
175	Lutres_Torane	94
175	00000000-0000-0000-0009-01ff0c3e5e4f	94
177	Jimi7hits	93
177	iSammael	93
177	Ze_BaronKrigler	93
180	diamondgolem35	92
180	_Dean_123	92
182	shyshyannne	91
182	F_Uhre	91
182	Dusk_95	91
182	Fizznut909	91
186	shadowthemonkey	90
187	PuFY	89
188	RebelAndroid	88
188	UncreativeArtist	88
188	LAVA129	88
188	KeruNatsema	88
192	Wooptey	87
192	pixelviolin	87
192	UCP_TheKingK	87
195	NinjaKnifeKill	86
195	Touched_Bread	86
195	sammidk	86
195	FishyBoy3811	86
199	RoskobiOne	85
199	ItsMrRamen	85
199	Fuad_R	85
199	TheOuterCore	85
199	MirielThePastor	85
204	Hisiste	84
205	alderban107	83
206	JohnnyFyes	82
206	jushykins	82
206	FishisTTV	82
209	ZA07	81
210	SyntheticSurgeon	80
210	Sheldor097	80
210	smogfrog	80
213	H0UNDFRMH3LL	78
213	jacxhadow	78
213	BlankityMcBlank	78
216	gaziter10	77
216	JitteryJared2	77
218	nattybears	76
218	Mobstr	76
218	_Boipl_	76
218	IdeallyGrey	76
222	Quincannon	75
222	Kura2218	75
224	TheDankPlatypus	74
224	Windo_licker	74
224	King_Pancake1	74
224	Mattesco	74
224	ebanana	74
224	AltnumberF4	74
230	MunkaKris	73
230	CadenSteele	73
230	Swexti	73
230	titanlax	73
230	KartivGal	73
235	selectrix	72
236	Crowman1	71
236	lillips	71
236	ItzWqlfy	71
239	Prodiginus	70
239	Nicky_H225	70
239	lizardfightclub	70
239	Deathkob	70
243	XxCookiequeenxX	69
243	DarkS0L	69
243	StinkyDiplomat	69
243	KingMatthew506	69
247	PazinGaming	68
247	SlayerCrypto	68
247	DanTheBuilderino	68
247	ItsDeltaMC	68
251	bearlystraight	67
251	calamariclam_I	67
253	mariominejedi	66
254	gustarlep	65
254	fkGrim	65
254	censorsheep	65
257	Elastiq	64
257	MAns_44	64
259	fr0stss	63
259	mimbo1211	63
259	IAmTheWalrus910	63
262	2Stout	62
262	hanaryheatwave	62
262	BigCronkin	62
265	Cowison	61
265	q_wq	61
265	himak1	61
265	Quaintster	61
265	ZeroKraken	61
265	tartanboy	61
271	trexgb	60
272	4774	59
272	Hoid_the_Roamer	59
274	Burge_r	58
275	gren_ben	57
275	Hpdinosaur	57
275	Flapjacker687	57
275	HAIRYCLOUD626	57
275	Shogunite	57
275	stavgod	57
275	LeeMcGee30	57
275	MissCeleste7	57
283	Kkanot	56
283	emrekn	56
283	Septemb3r	56
283	Afinnity	56
283	vandmanden	56
288	Flores991	55
288	Ardennes	55
288	wezzzi	55
288	EfficientC52	55
292	Sleek_Storm_721	54
292	Cambo5000	54
292	CharlieButt	54
292	SpacesickPrism	54
292	Jordan_R	54
292	00000000-0000-0000-0009-01fbab7ea71d	54
298	Mr_Byzantine	53
298	mattybeewrapss	53
300	Healthing	52
