rank	username	minecraft:custom/minecraft:interact_with_smoker
1	Comma__	2064
2	MightyWertu	1229
3	kekhon	877
4	Blackberry1310	788
5	PhantomsGhost_	691
6	Bandito_Roamer	542
7	himak1	481
8	AuroraValkyrie	445
9	Blaiku	363
10	noam464	362
11	eviltunix	330
12	Akoot_	301
13	RadarHz	294
14	starbits140	283
15	sebastiensaborio	263
16	KarlKaek	262
17	TheSecondLord	237
17	Rumpletaezer	237
19	_Dean_123	234
20	MonitorLizards	227
21	rarrq	223
22	CruncyIsTaken	222
23	stellarjay	213
24	M_Patata	206
25	ItsAki_	204
25	MasterNueve	204
27	Spacewardharpy7	193
28	SSytex_X	190
29	Mewar	186
30	MyNameIsJobo	179
31	SammiWolfGirl	173
32	livingdaydreams	172
33	JayToe	170
34	Fullut	169
35	sandmire	161
36	Ssor69	156
37	Airem_Core	155
38	CoffeeNoir	142
38	jacxhadow	142
40	fluddd	139
41	pappaberg	137
42	_TCARREIRA_	136
43	RodSerlingCringe	133
43	Xclax101	133
43	LetsDoItLive	133
46	TheShyPig	130
47	Kowcio_	129
48	Malorn_Aetherius	126
49	Werbe	122
49	AssEatrAndLicker	122
49	KingMatthew506	122
52	Arceus1975	117
53	BreadBacon	116
54	whoaluv	115
54	DarkS0L	115
56	Hisiste	113
57	Paintz	111
58	Typadopoulos	108
59	Kubeusz2010	106
60	ROY4LE	103
61	Windo_licker	99
62	Jovaphobic	97
62	Bumpy419	97
64	claivin	96
65	robotemo	95
66	Luigipunch989	94
67	Jiminbub	93
68	Bobby808	92
68	Freak_Genius	92
68	TheOnlyRake	92
71	ApophisNova	91
71	smogfrog	91
71	MyNamaSheff	91
74	bigstankyy	89
74	Awyrlas	89
76	AnnieBathory	87
76	Dusk_95	87
76	Ze_BaronKrigler	87
79	Zetsey	85
80	1442	84
81	Prodiginus	83
81	lOlmantschi	83
83	500am	82
83	layabout100	82
85	Euclidoris	81
85	Deathkob	81
85	MyNameIsDakar	81
88	H72l9w	80
88	Leyna3	80
90	KlausVonStiglitz	79
91	Hyugo	78
91	Mahoose	78
91	SpicyMeatballs	78
94	Xalithia	76
94	ADEXTV	76
96	KeruNatsema	75
97	Jokerman369	74
97	The11thDoctor	74
99	Lord_Zacler	73
100	UncreativeArtist	72
100	Erased_Identity	72
102	Dedalus36	71
102	Notta	71
102	Guillemet	71
102	valiSW	71
102	seramalen	71
102	Maenara	71
102	brofrickcheaters	71
109	Merv__	70
109	LordAurum	70
111	NotMeowMix	68
112	_Karmaa	67
112	SingedBread	67
114	CSG_Haru	66
115	Vizzoid	65
115	Onennon	65
115	WYFYoyo	65
118	Snowflowe	62
119	Mr_Byzantine	60
120	Skippeh	59
121	rotten_mango	58
122	set67	57
122	AlexStrange	57
122	PigDab	57
122	Smoke____	57
126	_naturell	56
127	_3Stump_	55
128	shdesolt	53
128	natajimi	53
130	titanlax	51
131	oreee	50
131	Ezekson	50
133	Sleek_Storm_721	49
133	Di_infiri	49
133	Dogcorn69420	49
136	Fuhrer_Teemo	48
136	stavgod	48
136	Nicserso	48
139	ewsophie	47
139	StanceTB	47
139	Inbefour	47
139	Quincannon	47
143	_NieToksikpl_	46
143	slkiey	46
145	PabloGonza02	45
146	Gingayy	44
146	SolicitedPuma101	44
146	anbbang	44
149	skelctal	43
149	NameGenerat0r	43
149	ProfessorDiaper	43
149	Soplight	43
153	Sky_light_KING	42
154	PhantomBionic	41
154	Project_MKBRD	41
154	NYJ	41
157	Rasaq	40
158	SteveCraftBlocks	39
158	DennyKai	39
160	RoyalDorrr	38
160	privatemeekly	38
162	mountaingirl311	37
163	Avrelion	36
163	Western_1	36
165	xxPipperDipperxx	35
165	QueenShuvi	35
165	Omar_Alone	35
168	Cowison	34
168	Incinere	34
168	BlueZabu	34
168	SlayerCrypto	34
168	jewbacaman	34
168	balin55	34
168	FlashMigma	34
168	DarkLawD	34
176	Mowelan	33
176	Cortexia	33
176	Mariopreeet	33
176	nut_e	33
176	SvenskaHugo	33
176	YungMaki	33
176	TechnoNinja64	33
183	Meatlaugh	32
184	trixterrx	31
184	33sudo	31
184	Pickel_Lord	31
184	Decaying_Lotus	31
184	mawileite	31
189	_Virify_	30
189	SaucyDark	30
189	hm947	30
192	elicobnoah	29
192	Paint	29
192	bloodbiter	29
192	CaptainSteve345	29
192	LilcoinXX	29
197	SuperPooch06	28
198	Groovy_MoonBird	27
198	Swexti	27
198	CharlieButt	27
